tracking_number,payment_type,pickup_dt_ist,delivery_dt_ist,days_taken,shipment_weight,pickup_pincode,pickup_city,pickup_state,drop_pincode,drop_city,drop_state,delivery_attempts
391049864544,Prepaid,2020-03-12 16:17:00+05:30,2020-03-17 18:07:00+05:30,5,14.0,560048,Bangalore,KA,,Nagpur,MH,2
390767863940,Prepaid,2020-03-02 16:23:00+05:30,2020-03-07 18:30:00+05:30,5,14.0,560048,Bangalore,KA,,Gurgaon,HR,2
390948901463,Prepaid,2020-03-09 15:12:00+05:30,2020-03-10 18:48:00+05:30,1,14.0,560048,Bangalore,KA,,Bengaluru,KA,1
390950797924,Prepaid,2020-03-09 15:12:00+05:30,2020-03-10 15:30:00+05:30,1,14.0,560048,Bangalore,KA,,Bangalore,KA,1
390767768950,COD,2020-03-02 16:23:00+05:30,2020-03-05 17:30:00+05:30,3,14.0,560048,Bangalore,KA,,Rajnandgaon,CT,1
390839698450,Prepaid,2020-03-05 19:20:00+05:30,2020-03-11 17:09:00+05:30,6,14.0,560048,Bangalore,KA,,Kolkata,WB,1
391080351396,COD,2020-03-13 17:14:00+05:30,2020-03-17 13:21:00+05:30,4,14.0,560048,Bangalore,KA,,New Delhi,DL,1
390948893060,Prepaid,2020-03-09 15:12:00+05:30,2020-03-10 13:33:00+05:30,1,14.0,560048,Bangalore,KA,,Bengaluru,KA,1
390948915036,COD,2020-03-09 15:12:00+05:30,2020-03-12 11:51:00+05:30,3,14.0,560048,Bangalore,KA,,Indore,MP,1
390901942719,COD,2020-03-06 16:07:00+05:30,2020-03-11 18:00:00+05:30,5,14.0,560048,Bangalore,KA,,Hyderabad,TS,1
391080316258,COD,2020-03-13 17:14:00+05:30,2020-03-16 15:09:00+05:30,3,14.0,560048,Bangalore,KA,,Mumbai,MH,1
280902855329,Prepaid,2021-06-29 19:07:00+05:30,2021-07-05 15:57:00+05:30,6,2.0,560048,Bangalore,KA,,Delhi,DL,2
390932015238,COD,2020-03-07 16:27:00+05:30,2020-03-10 18:00:00+05:30,3,14.0,560048,Bangalore,KA,,Hyderabad,TS,1
390808005402,Prepaid,2020-03-03 16:19:00+05:30,2020-03-06 18:15:00+05:30,3,14.0,560048,Bangalore,KA,,Hyderabad,TS,1
390948897537,COD,2020-03-09 15:12:00+05:30,2020-03-14 12:49:00+05:30,5,14.0,560048,Bangalore,KA,,Pune,MH,1
391049835905,Prepaid,2020-03-12 16:17:00+05:30,2020-03-17 13:00:00+05:30,5,14.0,560048,Bangalore,KA,,Ahmedabad,GJ,2
390871789380,Prepaid,2020-03-05 19:20:00+05:30,2020-03-09 12:10:00+05:30,4,14.0,560048,Bangalore,KA,,Mumbai,MH,1
390931995152,COD,2020-03-07 16:27:00+05:30,2020-03-13 13:54:00+05:30,6,14.0,560048,Bangalore,KA,,Udaipur,RJ,1
391080697205,COD,2020-03-13 17:14:00+05:30,2020-03-16 16:25:00+05:30,3,14.0,560048,Bangalore,KA,,Pune,MH,1
391128770200,Prepaid,2020-03-16 15:44:00+05:30,2020-03-20 16:55:00+05:30,4,14.0,560048,Bangalore,KA,,Gurgaon,HR,1
390950240108,Prepaid,2020-03-09 15:12:00+05:30,2020-03-12 16:00:00+05:30,3,28.0,560048,Bangalore,KA,,Mumbai,MH,1
390767808307,Prepaid,2020-03-02 16:23:00+05:30,2020-03-06 18:28:00+05:30,4,14.0,560048,Bangalore,KA,,Greater Noida,UP,1
391128738630,Prepaid,2020-03-16 15:44:00+05:30,2020-03-18 14:08:00+05:30,2,14.0,560048,Bangalore,KA,,Mumbai,MH,1
390902329207,Prepaid,2020-03-06 16:07:00+05:30,2020-03-07 11:06:00+05:30,1,28.0,560048,Bangalore,KA,,Bengaluru,KA,1
391198356290,COD,2020-03-18 17:08:00+05:30,2020-04-10 09:25:00+05:30,23,14.0,560048,Bangalore,KA,,Thanjavur,TN,1
390931713959,Prepaid,2020-03-07 16:27:00+05:30,2020-03-11 15:19:00+05:30,4,14.0,560048,Bangalore,KA,,Gurgaon,HR,1
391017620614,Prepaid,2020-03-11 16:39:00+05:30,2020-03-16 16:32:00+05:30,5,14.0,560048,Bangalore,KA,,Delhi,DL,1
390932012191,COD,2020-03-07 16:27:00+05:30,2020-03-10 16:00:00+05:30,3,14.0,560048,Bangalore,KA,,Kozhikode,KL,1
390871747925,Prepaid,2020-03-05 19:20:00+05:30,2020-03-09 15:49:00+05:30,4,14.0,560048,Bangalore,KA,,indore,MP,1
391128574287,COD,2020-03-16 15:44:00+05:30,2020-03-20 12:59:00+05:30,4,14.0,560048,Bangalore,KA,,Gurugram,HR,1
391109027000,COD,2020-03-14 16:35:00+05:30,2020-03-20 15:55:00+05:30,6,14.0,560048,Bangalore,KA,,Bhilai,CT,1
391049862758,COD,2020-03-12 16:17:00+05:30,2020-03-14 16:00:00+05:30,2,14.0,560048,Bangalore,KA,,Mumbai,MH,1
390931989124,Prepaid,2020-03-07 16:27:00+05:30,2020-03-11 15:19:00+05:30,4,28.0,560048,Bangalore,KA,,GURGAON,HR,1
391195859433,Prepaid,2020-03-18 17:08:00+05:30,2020-03-20 15:30:00+05:30,2,14.0,560048,Bangalore,KA,,Hyderabad,TS,1
390871742485,Prepaid,2020-03-05 19:20:00+05:30,2020-03-06 14:00:00+05:30,1,14.0,560048,Bangalore,KA,,Mysore,KA,1
391049866890,Prepaid,2020-03-12 16:17:00+05:30,2020-03-16 16:26:00+05:30,4,14.0,560048,Bangalore,KA,,Visakhapatnam,AP,1
390948910847,Prepaid,2020-03-09 15:12:00+05:30,2020-03-12 13:45:00+05:30,3,14.0,560048,Bangalore,KA,,Mumbai,MH,1
391018754107,COD,2020-03-11 16:39:00+05:30,2020-03-14 13:17:00+05:30,3,14.0,560048,Bangalore,KA,,Nagpur,MH,1
280998636780,Prepaid,2021-07-03 18:10:00+05:30,2021-07-07 17:34:00+05:30,4,3.8,400012,Mumbai,MH,,Surat,GJ,2
281176409884,Prepaid,2021-07-08 16:53:00+05:30,2021-07-13 16:13:00+05:30,5,6.0,400012,Mumbai,MH,,Hyderabad,TS,2
281097610455,Prepaid,2021-07-05 16:13:00+05:30,2021-07-09 16:37:00+05:30,4,18.0,400012,Mumbai,MH,,Bangalore,KA,1
281333571565,Prepaid,2021-07-12 19:20:00+05:30,2021-07-14 12:35:00+05:30,2,38.0,400012,Mumbai,MH,,Mumbai,MH,2
281095533884,Prepaid,2021-07-07 19:22:00+05:30,2021-07-14 18:53:00+05:30,7,12.0,403722,Goa,GA,,Chennai,TN,1
280267329094,Prepaid,2021-06-11 18:56:00+05:30,2021-06-16 11:28:00+05:30,5,20.0,110064,Delhi,DL,,Noida,UP,1
280267328981,Prepaid,2021-06-11 18:56:00+05:30,2021-06-18 17:18:00+05:30,7,20.0,110064,Delhi,DL,,Hyderabad,TS,1
281038348186,Prepaid,2021-07-03 18:03:00+05:30,2021-07-07 16:13:00+05:30,4,2.0,400059,Mumbai,MH,,Pune,MH,2
280439181099,Prepaid,2021-06-16 19:22:00+05:30,2021-06-24 18:22:00+05:30,8,32.0,110064,Delhi,DL,,Chennai,TN,1
281222569500,Prepaid,2021-07-09 14:35:00+05:30,2021-07-15 18:23:00+05:30,6,22.5,110064,Delhi,DL,,Jammu,JK,1
280307632740,Prepaid,2021-06-14 19:31:00+05:30,2021-06-16 16:30:00+05:30,2,2.0,400059,Mumbai,MH,,Pune,MH,2
280307633276,Prepaid,2021-06-14 19:31:00+05:30,2021-06-16 16:30:00+05:30,2,2.0,400059,Mumbai,MH,,Pune,MH,2
280993568461,Prepaid,2021-07-03 16:19:00+05:30,2021-07-06 10:30:00+05:30,3,1.5,411003,Pune,MH,,Mumbai,MH,2
